14;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A
VEREADOR? ESPONTÂNEA";392;100.00%
;14.1.1;EDVALDO;5;1.28%
;14.1.2;JULIA HORTA;12;3.06%
;14.1.3;MORIÁ;18;4.59%
;14.1.4;RONALDINHO;7;1.79%
;14.1.5;TÃOZINHO;12;3.06%
;14.1.6;BRUNO PDT;1;0.26%
;14.1.7;DIEGO FERRAMENTA;5;1.28%
;14.1.8;OSVALDO;1;0.26%
;14.1.9;GLADESTONE;1;0.26%
;14.1.10;SANDRA BUENO;3;0.77%
;14.1.11;FABRICIO;2;0.51%
;14.1.12;EDUARDO RIBEIRO;2;0.51%
;14.1.13;CHARLES;1;0.26%
;14.1.14;CRISTIAN;4;1.02%
;14.1.15;FUBA;6;1.53%
;14.1.16;GERALDO LULA;1;0.26%
;14.1.17;MIGUEL;1;0.26%
;14.1.18;ZÉ FERNANDES;3;0.77%
;14.1.19;GERALDO DA PAIXÃO;1;0.26%
;14.1.20;ZÉ DO MEL;1;0.26%
;14.1.21;MARCOS ELIAS;1;0.26%
;14.1.22;MARCOS ANTONIO;3;0.77%
;14.1.23;MARQUINHOS;3;0.77%
;14.1.24;MARTA GERVÁSIO;1;0.26%
;14.1.25;ALFREDO;1;0.26%
;14.1.26;AROLDO;1;0.26%
;14.2;NÃO SABE/N. RESP.;295;75.26%
