12;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A PREFEITO
OU PREFEITA DO MUNICÍPIO? ESTIMULADA";392;100.00%
;12.1;LAURA ARAUJO;65;16.58%
;12.2;TXAI (ORABOLAS);46;11.73%
;12.3;JULIA HORTA;35;8.93%
;12.4;MARTA GERVÁSIO;6;1.53%
;12.5;TÃOZINHO;20;5.10%
;12.6;QUERALA DA CENIBRA;9;2.30%
;12.7;MORIÁ;22;5.61%
;12.8;ANTÔNIO PIMENTEL;5;1.28%
;12.9;ARTUR MOREIRA;10;2.55%
;12.1;NÃO SABE/N. RESP.;174;44.39%
