11;;SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A PREFEITO OU PREFEITA? ESPONTÂNEA;392;100.00%
;11.1;LAURA ARAUJO;56;14.29%
;11.2;TXAI (ORABOLAS);36;9.18%
;11.3;JULIA HORTA;12;3.06%
;11.4;MARTA GERVÁSIO;3;0.77%
;11.5;TÃOZINHO;11;2.81%
;11.6;QUERALA DA CENIBRA;1;0.26%
;11.7;MORIÁ;12;3.06%
;11.8;ANTÔNIO PIMENTEL;2;0.51%
;11.9;ARTUR MOREIRA;5;1.28%
;11.1;NUCÃO;1;0.26%
;11.11;FRANGO BRANCO;2;0.51%
;11.12;PEDRO;1;0.26%
;11.13;SAULO DA PADARIA;1;0.26%
;11.14;ROBERTO BICALHO;4;1.02%
;11.15;EDVALDO;1;0.26%
;11.16;NÃO SABE / N. RESP.;244;62.24%
